country,year,sex,age_range_x,suicides_no,population,suicides_100k_pop,country_year,HDI_for_year, gdp_for_year,gdp_per_capita,generation,age_range_y,usage,age_med,year_born
United States,2005,m,75+ years,2610,6883241,37.92,United States2005,0.897,13093726000000,47423,Silent,55-74 years,0.045,65.0,1940.0
United States,2005,m,75+ years,2610,6883241,37.92,United States2005,0.897,13093726000000,47423,Silent,75+ years,0.025,75.0,1930.0
United States,2005,m,55-74 years,5190,23156114,22.41,United States2005,0.897,13093726000000,47423,Silent,55-74 years,0.045,65.0,1940.0
United States,2005,m,55-74 years,5190,23156114,22.41,United States2005,0.897,13093726000000,47423,Silent,75+ years,0.025,75.0,1930.0
United States,2005,f,55-74 years,1364,25839240,5.28,United States2005,0.897,13093726000000,47423,Silent,55-74 years,0.045,65.0,1940.0
United States,2005,f,55-74 years,1364,25839240,5.28,United States2005,0.897,13093726000000,47423,Silent,75+ years,0.025,75.0,1930.0
United States,2005,f,75+ years,450,11267059,3.99,United States2005,0.897,13093726000000,47423,Silent,55-74 years,0.045,65.0,1940.0
United States,2005,f,75+ years,450,11267059,3.99,United States2005,0.897,13093726000000,47423,Silent,75+ years,0.025,75.0,1930.0
United States,2005,m,35-54 years,10332,42835394,24.12,United States2005,0.897,13093726000000,47423,Boomers,35-54 years,0.075,45.0,1960.0
United States,2005,f,35-54 years,3209,43509335,7.38,United States2005,0.897,13093726000000,47423,Boomers,35-54 years,0.075,45.0,1960.0
United States,2005,m,25-34 years,4066,20421260,19.91,United States2005,0.897,13093726000000,47423,Generation X,25-34 years,0.0720095693779904,30.0,1975.0
United States,2005,f,25-34 years,924,19721652,4.69,United States2005,0.897,13093726000000,47423,Generation X,25-34 years,0.0720095693779904,30.0,1975.0
United States,2005,m,15-24 years,3498,21647159,16.16,United States2005,0.897,13093726000000,47423,Millenials,15-24 years,0.115,20.0,1985.0
United States,2005,f,15-24 years,714,20429690,3.49,United States2005,0.897,13093726000000,47423,Millenials,15-24 years,0.115,20.0,1985.0
United States,2005,m,5-14 years,204,20675232,0.99,United States2005,0.897,13093726000000,47423,Millenials,15-24 years,0.115,20.0,1985.0
United States,2005,f,5-14 years,68,19721304,0.34,United States2005,0.897,13093726000000,47423,Millenials,15-24 years,0.115,20.0,1985.0
United States,2006,m,75+ years,2494,6986609,35.7,United States2006,,13855888000000,49666,Silent,55-74 years,0.03,65.0,1941.0
